,Value,Unit
Total cost,19878.27994352086,MEur
Energy not served,39.459756190953684,GWh
Total cost ens,118.37926857286105,MEur
Cost of energy,87.18223505530892,Eur/MWh
Total CO2 emitted,0.0,kt
