,Preinstalled capacity,Added capacity,Total capacity,Max capacity
BATTERIES power,0.0,6.5460630129348685,6.5460630129348685,200.0
BATTERIES energy,0.0,12.875723656350242,12.875723656350242,1000.0
H2_STORAGE power,0.0,0.0,0.0,250.0
H2_STORAGE energy,0.0,0.0,0.0,250.0
DAC,0.0,0.0,0.0,3.5
ELECTROLYSIS_PLANTS,0.0,3.886431257021693,3.886431257021693,100.0
FUEL_CELLS,0.0,0.0,0.0,100.0
METHANATION,0.0,0.0,0.0,100.0
