,Value,Unit
Total cost,20469.996269846615,MEur
Energy not served,9.394243764175005,GWh
Total cost ens,28.182731292525016,MEur
Cost of energy,90.17892585189672,Eur/MWh
Total CO2 emitted,0.0,kt
