,Value,Unit
Total cost,20470.689611967606,MEur
Energy not served,9.384860662814326,GWh
Total cost ens,28.154581988442978,MEur
Cost of energy,90.18210497361663,Eur/MWh
Total CO2 emitted,0.0,kt
