,Preinstalled capacity,Added capacity,Total capacity,Max capacity
BATTERIES power,0.0,7.399437646388148,7.399437646388148,200.0
BATTERIES energy,0.0,11.004176481162716,11.004176481162716,1000.0
H2_STORAGE power,0.0,0.0,0.0,250.0
H2_STORAGE energy,0.0,0.0,0.0,250.0
DAC,0.0,0.0,0.0,3.5
ELECTROLYSIS_PLANTS,0.0,1.0635203437646072,1.0635203437646072,100.0
FUEL_CELLS,0.0,0.0,0.0,100.0
METHANATION,0.0,0.0,0.0,100.0
